# Mixing Chamber
# UCSD DR Cooldown data 
# Time	Temperature 
# (s)	(K)
1.523578207000000000e+09 0.000000000000000000e+00
1.523578267000000000e+09 0.000000000000000000e+00
1.523578327000000000e+09 0.000000000000000000e+00
1.523578387000000000e+09 0.000000000000000000e+00
1.523578447000000000e+09 0.000000000000000000e+00
1.523578508000000000e+09 0.000000000000000000e+00
1.523578568000000000e+09 0.000000000000000000e+00
1.523578628000000000e+09 0.000000000000000000e+00
1.523578688000000000e+09 0.000000000000000000e+00
1.523578748000000000e+09 0.000000000000000000e+00
1.523578809000000000e+09 0.000000000000000000e+00
1.523578869000000000e+09 0.000000000000000000e+00
1.523578929000000000e+09 0.000000000000000000e+00
1.523578989000000000e+09 0.000000000000000000e+00
1.523579049000000000e+09 0.000000000000000000e+00
1.523579109000000000e+09 0.000000000000000000e+00
1.523579169000000000e+09 0.000000000000000000e+00
1.523579230000000000e+09 0.000000000000000000e+00
1.523579290000000000e+09 0.000000000000000000e+00
1.523579350000000000e+09 0.000000000000000000e+00
1.523579410000000000e+09 0.000000000000000000e+00
1.523579471000000000e+09 0.000000000000000000e+00
1.523579531000000000e+09 0.000000000000000000e+00
1.523579591000000000e+09 0.000000000000000000e+00
1.523579651000000000e+09 0.000000000000000000e+00
1.523579711000000000e+09 0.000000000000000000e+00
1.523579771000000000e+09 0.000000000000000000e+00
1.523579832000000000e+09 0.000000000000000000e+00
1.523579892000000000e+09 0.000000000000000000e+00
1.523579952000000000e+09 0.000000000000000000e+00
1.523580012000000000e+09 0.000000000000000000e+00
1.523580072000000000e+09 0.000000000000000000e+00
1.523580133000000000e+09 0.000000000000000000e+00
1.523580193000000000e+09 0.000000000000000000e+00
1.523580253000000000e+09 0.000000000000000000e+00
1.523580313000000000e+09 0.000000000000000000e+00
1.523580373000000000e+09 0.000000000000000000e+00
1.523580433000000000e+09 0.000000000000000000e+00
1.523580494000000000e+09 0.000000000000000000e+00
1.523580554000000000e+09 0.000000000000000000e+00
1.523580614000000000e+09 0.000000000000000000e+00
1.523580674000000000e+09 0.000000000000000000e+00
1.523580735000000000e+09 0.000000000000000000e+00
1.523580795000000000e+09 0.000000000000000000e+00
1.523580855000000000e+09 0.000000000000000000e+00
1.523580915000000000e+09 0.000000000000000000e+00
1.523580975000000000e+09 0.000000000000000000e+00
1.523581035000000000e+09 0.000000000000000000e+00
1.523581096000000000e+09 0.000000000000000000e+00
1.523581156000000000e+09 0.000000000000000000e+00
1.523581216000000000e+09 0.000000000000000000e+00
1.523581276000000000e+09 0.000000000000000000e+00
1.523581337000000000e+09 0.000000000000000000e+00
1.523581397000000000e+09 0.000000000000000000e+00
1.523581457000000000e+09 0.000000000000000000e+00
1.523581517000000000e+09 0.000000000000000000e+00
1.523581577000000000e+09 0.000000000000000000e+00
1.523581638000000000e+09 0.000000000000000000e+00
1.523581698000000000e+09 0.000000000000000000e+00
1.523581758000000000e+09 0.000000000000000000e+00
1.523581818000000000e+09 0.000000000000000000e+00
1.523581878000000000e+09 0.000000000000000000e+00
1.523581938000000000e+09 0.000000000000000000e+00
1.523581999000000000e+09 0.000000000000000000e+00
1.523582059000000000e+09 0.000000000000000000e+00
1.523582119000000000e+09 0.000000000000000000e+00
1.523582179000000000e+09 0.000000000000000000e+00
1.523582239000000000e+09 0.000000000000000000e+00
1.523582300000000000e+09 0.000000000000000000e+00
1.523582360000000000e+09 0.000000000000000000e+00
1.523582420000000000e+09 0.000000000000000000e+00
1.523582480000000000e+09 0.000000000000000000e+00
1.523582540000000000e+09 0.000000000000000000e+00
1.523582600000000000e+09 0.000000000000000000e+00
1.523582661000000000e+09 0.000000000000000000e+00
1.523582721000000000e+09 0.000000000000000000e+00
1.523582781000000000e+09 0.000000000000000000e+00
1.523582841000000000e+09 0.000000000000000000e+00
1.523582901000000000e+09 0.000000000000000000e+00
1.523582961000000000e+09 0.000000000000000000e+00
1.523583021000000000e+09 0.000000000000000000e+00
1.523583082000000000e+09 0.000000000000000000e+00
1.523583142000000000e+09 0.000000000000000000e+00
1.523583202000000000e+09 0.000000000000000000e+00
1.523583262000000000e+09 0.000000000000000000e+00
1.523583322000000000e+09 0.000000000000000000e+00
1.523583383000000000e+09 0.000000000000000000e+00
1.523583443000000000e+09 0.000000000000000000e+00
1.523583503000000000e+09 0.000000000000000000e+00
1.523583563000000000e+09 0.000000000000000000e+00
1.523583623000000000e+09 0.000000000000000000e+00
1.523583683000000000e+09 0.000000000000000000e+00
1.523583744000000000e+09 0.000000000000000000e+00
1.523583804000000000e+09 0.000000000000000000e+00
1.523583864000000000e+09 0.000000000000000000e+00
1.523583924000000000e+09 0.000000000000000000e+00
1.523583984000000000e+09 0.000000000000000000e+00
1.523584044000000000e+09 0.000000000000000000e+00
1.523584104000000000e+09 0.000000000000000000e+00
1.523584165000000000e+09 0.000000000000000000e+00
1.523584225000000000e+09 0.000000000000000000e+00
1.523584285000000000e+09 0.000000000000000000e+00
1.523584345000000000e+09 0.000000000000000000e+00
1.523584406000000000e+09 0.000000000000000000e+00
1.523584466000000000e+09 0.000000000000000000e+00
1.523584526000000000e+09 0.000000000000000000e+00
1.523584587000000000e+09 0.000000000000000000e+00
1.523584647000000000e+09 0.000000000000000000e+00
1.523584707000000000e+09 0.000000000000000000e+00
1.523584767000000000e+09 0.000000000000000000e+00
1.523584827000000000e+09 0.000000000000000000e+00
1.523584888000000000e+09 0.000000000000000000e+00
1.523584948000000000e+09 0.000000000000000000e+00
1.523585008000000000e+09 0.000000000000000000e+00
1.523585068000000000e+09 0.000000000000000000e+00
1.523585128000000000e+09 0.000000000000000000e+00
1.523585188000000000e+09 0.000000000000000000e+00
1.523585248000000000e+09 0.000000000000000000e+00
1.523585309000000000e+09 0.000000000000000000e+00
1.523585369000000000e+09 0.000000000000000000e+00
1.523585429000000000e+09 0.000000000000000000e+00
1.523585489000000000e+09 0.000000000000000000e+00
1.523585549000000000e+09 0.000000000000000000e+00
1.523585609000000000e+09 0.000000000000000000e+00
1.523585670000000000e+09 0.000000000000000000e+00
1.523585730000000000e+09 0.000000000000000000e+00
1.523585790000000000e+09 0.000000000000000000e+00
1.523585850000000000e+09 0.000000000000000000e+00
1.523585910000000000e+09 0.000000000000000000e+00
1.523585971000000000e+09 0.000000000000000000e+00
1.523586031000000000e+09 0.000000000000000000e+00
1.523586091000000000e+09 0.000000000000000000e+00
1.523586151000000000e+09 0.000000000000000000e+00
1.523586211000000000e+09 0.000000000000000000e+00
1.523586271000000000e+09 0.000000000000000000e+00
1.523586331000000000e+09 0.000000000000000000e+00
1.523586391000000000e+09 0.000000000000000000e+00
1.523586452000000000e+09 0.000000000000000000e+00
1.523586512000000000e+09 0.000000000000000000e+00
1.523586572000000000e+09 0.000000000000000000e+00
1.523586632000000000e+09 0.000000000000000000e+00
1.523586692000000000e+09 0.000000000000000000e+00
1.523586752000000000e+09 0.000000000000000000e+00
1.523586813000000000e+09 0.000000000000000000e+00
1.523586873000000000e+09 0.000000000000000000e+00
1.523586933000000000e+09 0.000000000000000000e+00
1.523586993000000000e+09 0.000000000000000000e+00
1.523587053000000000e+09 0.000000000000000000e+00
1.523587113000000000e+09 0.000000000000000000e+00
1.523587173000000000e+09 0.000000000000000000e+00
1.523587234000000000e+09 0.000000000000000000e+00
1.523587294000000000e+09 0.000000000000000000e+00
1.523587354000000000e+09 0.000000000000000000e+00
1.523587414000000000e+09 0.000000000000000000e+00
1.523587474000000000e+09 0.000000000000000000e+00
1.523587534000000000e+09 0.000000000000000000e+00
1.523587595000000000e+09 0.000000000000000000e+00
1.523587655000000000e+09 0.000000000000000000e+00
1.523587715000000000e+09 0.000000000000000000e+00
1.523587775000000000e+09 0.000000000000000000e+00
1.523587835000000000e+09 0.000000000000000000e+00
1.523587895000000000e+09 0.000000000000000000e+00
1.523587955000000000e+09 0.000000000000000000e+00
1.523588015000000000e+09 0.000000000000000000e+00
1.523588075000000000e+09 0.000000000000000000e+00
1.523588135000000000e+09 0.000000000000000000e+00
1.523588195000000000e+09 0.000000000000000000e+00
1.523588256000000000e+09 0.000000000000000000e+00
1.523588316000000000e+09 0.000000000000000000e+00
1.523588376000000000e+09 0.000000000000000000e+00
1.523588436000000000e+09 0.000000000000000000e+00
1.523588496000000000e+09 0.000000000000000000e+00
1.523588556000000000e+09 0.000000000000000000e+00
1.523588616000000000e+09 0.000000000000000000e+00
1.523588677000000000e+09 0.000000000000000000e+00
1.523588737000000000e+09 0.000000000000000000e+00
1.523588797000000000e+09 0.000000000000000000e+00
1.523588857000000000e+09 0.000000000000000000e+00
1.523588917000000000e+09 0.000000000000000000e+00
1.523588978000000000e+09 0.000000000000000000e+00
1.523589038000000000e+09 0.000000000000000000e+00
1.523589098000000000e+09 0.000000000000000000e+00
1.523589158000000000e+09 0.000000000000000000e+00
1.523589219000000000e+09 0.000000000000000000e+00
1.523589279000000000e+09 0.000000000000000000e+00
1.523589339000000000e+09 0.000000000000000000e+00
1.523589399000000000e+09 0.000000000000000000e+00
1.523589459000000000e+09 0.000000000000000000e+00
1.523589519000000000e+09 0.000000000000000000e+00
1.523589580000000000e+09 0.000000000000000000e+00
1.523589640000000000e+09 0.000000000000000000e+00
1.523589700000000000e+09 0.000000000000000000e+00
1.523589760000000000e+09 0.000000000000000000e+00
1.523589820000000000e+09 0.000000000000000000e+00
1.523589880000000000e+09 0.000000000000000000e+00
1.523589940000000000e+09 0.000000000000000000e+00
1.523590000000000000e+09 0.000000000000000000e+00
1.523590061000000000e+09 0.000000000000000000e+00
1.523590121000000000e+09 0.000000000000000000e+00
1.523590181000000000e+09 0.000000000000000000e+00
1.523590241000000000e+09 0.000000000000000000e+00
1.523590301000000000e+09 0.000000000000000000e+00
1.523590361000000000e+09 0.000000000000000000e+00
1.523590421000000000e+09 0.000000000000000000e+00
1.523590482000000000e+09 0.000000000000000000e+00
1.523590542000000000e+09 0.000000000000000000e+00
1.523590602000000000e+09 0.000000000000000000e+00
1.523590662000000000e+09 0.000000000000000000e+00
1.523590723000000000e+09 0.000000000000000000e+00
1.523590783000000000e+09 0.000000000000000000e+00
1.523590843000000000e+09 0.000000000000000000e+00
1.523590903000000000e+09 0.000000000000000000e+00
1.523590963000000000e+09 0.000000000000000000e+00
1.523591023000000000e+09 0.000000000000000000e+00
1.523591083000000000e+09 0.000000000000000000e+00
1.523591143000000000e+09 0.000000000000000000e+00
1.523591204000000000e+09 0.000000000000000000e+00
1.523591264000000000e+09 0.000000000000000000e+00
1.523591324000000000e+09 0.000000000000000000e+00
1.523591384000000000e+09 0.000000000000000000e+00
1.523591444000000000e+09 0.000000000000000000e+00
1.523591504000000000e+09 0.000000000000000000e+00
1.523591564000000000e+09 0.000000000000000000e+00
1.523591624000000000e+09 0.000000000000000000e+00
1.523591685000000000e+09 0.000000000000000000e+00
1.523591745000000000e+09 0.000000000000000000e+00
1.523591805000000000e+09 0.000000000000000000e+00
1.523591865000000000e+09 0.000000000000000000e+00
1.523591925000000000e+09 0.000000000000000000e+00
1.523591985000000000e+09 0.000000000000000000e+00
1.523592046000000000e+09 0.000000000000000000e+00
1.523592106000000000e+09 0.000000000000000000e+00
1.523592166000000000e+09 0.000000000000000000e+00
1.523592226000000000e+09 0.000000000000000000e+00
1.523592286000000000e+09 0.000000000000000000e+00
1.523592346000000000e+09 0.000000000000000000e+00
1.523592406000000000e+09 0.000000000000000000e+00
1.523592467000000000e+09 0.000000000000000000e+00
1.523592527000000000e+09 0.000000000000000000e+00
1.523592587000000000e+09 0.000000000000000000e+00
1.523592647000000000e+09 0.000000000000000000e+00
1.523592707000000000e+09 0.000000000000000000e+00
1.523592767000000000e+09 0.000000000000000000e+00
1.523592828000000000e+09 0.000000000000000000e+00
1.523592888000000000e+09 0.000000000000000000e+00
1.523592948000000000e+09 0.000000000000000000e+00
1.523593008000000000e+09 0.000000000000000000e+00
1.523593068000000000e+09 0.000000000000000000e+00
1.523593128000000000e+09 0.000000000000000000e+00
1.523593188000000000e+09 0.000000000000000000e+00
1.523593248000000000e+09 0.000000000000000000e+00
1.523593309000000000e+09 0.000000000000000000e+00
1.523593369000000000e+09 0.000000000000000000e+00
1.523593429000000000e+09 0.000000000000000000e+00
1.523593489000000000e+09 0.000000000000000000e+00
1.523593550000000000e+09 0.000000000000000000e+00
1.523593610000000000e+09 0.000000000000000000e+00
1.523593670000000000e+09 0.000000000000000000e+00
1.523593730000000000e+09 0.000000000000000000e+00
1.523593790000000000e+09 0.000000000000000000e+00
1.523593850000000000e+09 0.000000000000000000e+00
1.523593910000000000e+09 0.000000000000000000e+00
1.523593971000000000e+09 0.000000000000000000e+00
1.523594031000000000e+09 0.000000000000000000e+00
1.523594091000000000e+09 0.000000000000000000e+00
1.523594151000000000e+09 0.000000000000000000e+00
1.523594211000000000e+09 0.000000000000000000e+00
1.523594271000000000e+09 0.000000000000000000e+00
1.523594331000000000e+09 0.000000000000000000e+00
1.523594392000000000e+09 0.000000000000000000e+00
1.523594452000000000e+09 0.000000000000000000e+00
1.523594512000000000e+09 0.000000000000000000e+00
1.523594572000000000e+09 0.000000000000000000e+00
1.523594632000000000e+09 0.000000000000000000e+00
1.523594693000000000e+09 0.000000000000000000e+00
1.523594753000000000e+09 0.000000000000000000e+00
1.523594813000000000e+09 0.000000000000000000e+00
1.523594873000000000e+09 0.000000000000000000e+00
1.523594933000000000e+09 0.000000000000000000e+00
1.523594993000000000e+09 0.000000000000000000e+00
1.523595053000000000e+09 0.000000000000000000e+00
1.523595113000000000e+09 0.000000000000000000e+00
1.523595174000000000e+09 0.000000000000000000e+00
1.523595234000000000e+09 0.000000000000000000e+00
1.523595294000000000e+09 0.000000000000000000e+00
1.523595354000000000e+09 0.000000000000000000e+00
1.523595414000000000e+09 0.000000000000000000e+00
1.523595474000000000e+09 0.000000000000000000e+00
1.523595535000000000e+09 0.000000000000000000e+00
1.523595595000000000e+09 0.000000000000000000e+00
1.523595655000000000e+09 0.000000000000000000e+00
1.523595715000000000e+09 0.000000000000000000e+00
1.523595775000000000e+09 0.000000000000000000e+00
1.523595835000000000e+09 0.000000000000000000e+00
1.523595895000000000e+09 0.000000000000000000e+00
1.523595956000000000e+09 0.000000000000000000e+00
1.523596016000000000e+09 0.000000000000000000e+00
1.523596076000000000e+09 0.000000000000000000e+00
1.523596136000000000e+09 0.000000000000000000e+00
1.523596196000000000e+09 0.000000000000000000e+00
1.523596257000000000e+09 0.000000000000000000e+00
1.523596317000000000e+09 0.000000000000000000e+00
1.523596377000000000e+09 0.000000000000000000e+00
1.523596437000000000e+09 0.000000000000000000e+00
1.523596498000000000e+09 0.000000000000000000e+00
1.523596558000000000e+09 0.000000000000000000e+00
1.523596618000000000e+09 0.000000000000000000e+00
1.523596678000000000e+09 0.000000000000000000e+00
1.523596738000000000e+09 0.000000000000000000e+00
1.523596799000000000e+09 0.000000000000000000e+00
1.523596859000000000e+09 0.000000000000000000e+00
1.523596919000000000e+09 0.000000000000000000e+00
1.523596979000000000e+09 0.000000000000000000e+00
1.523597039000000000e+09 0.000000000000000000e+00
1.523597099000000000e+09 0.000000000000000000e+00
1.523597159000000000e+09 0.000000000000000000e+00
1.523597220000000000e+09 0.000000000000000000e+00
1.523597280000000000e+09 0.000000000000000000e+00
1.523597340000000000e+09 0.000000000000000000e+00
1.523597400000000000e+09 0.000000000000000000e+00
1.523597460000000000e+09 0.000000000000000000e+00
1.523597521000000000e+09 0.000000000000000000e+00
1.523597581000000000e+09 0.000000000000000000e+00
1.523597641000000000e+09 0.000000000000000000e+00
1.523597701000000000e+09 0.000000000000000000e+00
1.523597761000000000e+09 0.000000000000000000e+00
1.523597821000000000e+09 0.000000000000000000e+00
1.523597882000000000e+09 0.000000000000000000e+00
1.523597942000000000e+09 0.000000000000000000e+00
1.523598002000000000e+09 0.000000000000000000e+00
1.523598062000000000e+09 0.000000000000000000e+00
1.523598122000000000e+09 0.000000000000000000e+00
1.523598182000000000e+09 0.000000000000000000e+00
1.523598243000000000e+09 0.000000000000000000e+00
1.523598303000000000e+09 0.000000000000000000e+00
1.523598363000000000e+09 0.000000000000000000e+00
1.523598423000000000e+09 0.000000000000000000e+00
1.523598484000000000e+09 0.000000000000000000e+00
1.523598544000000000e+09 0.000000000000000000e+00
1.523598604000000000e+09 0.000000000000000000e+00
1.523598664000000000e+09 0.000000000000000000e+00
1.523598724000000000e+09 0.000000000000000000e+00
1.523598784000000000e+09 0.000000000000000000e+00
1.523598844000000000e+09 0.000000000000000000e+00
1.523598904000000000e+09 0.000000000000000000e+00
1.523598965000000000e+09 0.000000000000000000e+00
1.523599025000000000e+09 0.000000000000000000e+00
1.523599085000000000e+09 0.000000000000000000e+00
1.523599145000000000e+09 0.000000000000000000e+00
1.523599205000000000e+09 0.000000000000000000e+00
1.523599265000000000e+09 0.000000000000000000e+00
1.523599325000000000e+09 0.000000000000000000e+00
1.523599386000000000e+09 0.000000000000000000e+00
1.523599446000000000e+09 0.000000000000000000e+00
1.523599506000000000e+09 0.000000000000000000e+00
1.523599566000000000e+09 0.000000000000000000e+00
1.523599626000000000e+09 0.000000000000000000e+00
1.523599687000000000e+09 0.000000000000000000e+00
1.523599747000000000e+09 0.000000000000000000e+00
1.523599807000000000e+09 0.000000000000000000e+00
1.523599867000000000e+09 0.000000000000000000e+00
1.523599927000000000e+09 0.000000000000000000e+00
1.523599987000000000e+09 0.000000000000000000e+00
1.523600047000000000e+09 0.000000000000000000e+00
1.523600108000000000e+09 0.000000000000000000e+00
1.523600168000000000e+09 0.000000000000000000e+00
1.523600228000000000e+09 0.000000000000000000e+00
1.523600288000000000e+09 0.000000000000000000e+00
1.523600348000000000e+09 0.000000000000000000e+00
1.523600408000000000e+09 0.000000000000000000e+00
1.523600469000000000e+09 0.000000000000000000e+00
1.523600529000000000e+09 0.000000000000000000e+00
1.523600589000000000e+09 0.000000000000000000e+00
1.523600649000000000e+09 0.000000000000000000e+00
1.523600709000000000e+09 0.000000000000000000e+00
1.523600770000000000e+09 0.000000000000000000e+00
1.523600830000000000e+09 0.000000000000000000e+00
1.523600890000000000e+09 0.000000000000000000e+00
1.523600950000000000e+09 0.000000000000000000e+00
1.523601010000000000e+09 0.000000000000000000e+00
1.523601070000000000e+09 0.000000000000000000e+00
1.523601131000000000e+09 0.000000000000000000e+00
1.523601191000000000e+09 0.000000000000000000e+00
1.523601251000000000e+09 0.000000000000000000e+00
1.523601311000000000e+09 0.000000000000000000e+00
1.523601371000000000e+09 0.000000000000000000e+00
1.523601432000000000e+09 0.000000000000000000e+00
1.523601492000000000e+09 0.000000000000000000e+00
1.523601552000000000e+09 0.000000000000000000e+00
1.523601612000000000e+09 0.000000000000000000e+00
1.523601672000000000e+09 0.000000000000000000e+00
1.523601733000000000e+09 0.000000000000000000e+00
1.523601793000000000e+09 0.000000000000000000e+00
1.523601853000000000e+09 0.000000000000000000e+00
1.523601913000000000e+09 0.000000000000000000e+00
1.523601973000000000e+09 0.000000000000000000e+00
1.523602034000000000e+09 0.000000000000000000e+00
1.523602094000000000e+09 0.000000000000000000e+00
1.523602154000000000e+09 0.000000000000000000e+00
1.523602214000000000e+09 0.000000000000000000e+00
1.523602274000000000e+09 0.000000000000000000e+00
1.523602334000000000e+09 0.000000000000000000e+00
1.523602394000000000e+09 0.000000000000000000e+00
1.523602455000000000e+09 0.000000000000000000e+00
1.523602515000000000e+09 0.000000000000000000e+00
1.523602575000000000e+09 0.000000000000000000e+00
1.523602635000000000e+09 0.000000000000000000e+00
1.523602695000000000e+09 0.000000000000000000e+00
1.523602755000000000e+09 0.000000000000000000e+00
1.523602815000000000e+09 0.000000000000000000e+00
1.523602876000000000e+09 0.000000000000000000e+00
1.523602936000000000e+09 0.000000000000000000e+00
1.523602996000000000e+09 0.000000000000000000e+00
1.523603056000000000e+09 0.000000000000000000e+00
1.523603116000000000e+09 0.000000000000000000e+00
1.523603176000000000e+09 0.000000000000000000e+00
1.523603236000000000e+09 0.000000000000000000e+00
1.523603296000000000e+09 0.000000000000000000e+00
1.523603357000000000e+09 0.000000000000000000e+00
1.523603417000000000e+09 0.000000000000000000e+00
1.523603477000000000e+09 0.000000000000000000e+00
1.523603537000000000e+09 0.000000000000000000e+00
1.523603597000000000e+09 0.000000000000000000e+00
1.523603658000000000e+09 0.000000000000000000e+00
1.523603718000000000e+09 0.000000000000000000e+00
1.523603778000000000e+09 0.000000000000000000e+00
1.523603838000000000e+09 0.000000000000000000e+00
1.523603898000000000e+09 0.000000000000000000e+00
1.523603958000000000e+09 0.000000000000000000e+00
1.523604019000000000e+09 0.000000000000000000e+00
1.523604079000000000e+09 0.000000000000000000e+00
1.523604139000000000e+09 0.000000000000000000e+00
1.523604199000000000e+09 0.000000000000000000e+00
1.523604259000000000e+09 0.000000000000000000e+00
1.523604319000000000e+09 0.000000000000000000e+00
1.523604380000000000e+09 0.000000000000000000e+00
1.523604440000000000e+09 0.000000000000000000e+00
1.523604500000000000e+09 0.000000000000000000e+00
1.523604560000000000e+09 0.000000000000000000e+00
1.523604620000000000e+09 0.000000000000000000e+00
1.523604680000000000e+09 0.000000000000000000e+00
1.523604740000000000e+09 0.000000000000000000e+00
1.523604801000000000e+09 0.000000000000000000e+00
1.523604861000000000e+09 0.000000000000000000e+00
1.523604921000000000e+09 0.000000000000000000e+00
1.523604981000000000e+09 0.000000000000000000e+00
1.523605041000000000e+09 0.000000000000000000e+00
1.523605102000000000e+09 0.000000000000000000e+00
1.523605162000000000e+09 0.000000000000000000e+00
1.523605222000000000e+09 0.000000000000000000e+00
1.523605282000000000e+09 0.000000000000000000e+00
1.523605342000000000e+09 0.000000000000000000e+00
1.523605402000000000e+09 0.000000000000000000e+00
1.523605462000000000e+09 0.000000000000000000e+00
1.523605522000000000e+09 0.000000000000000000e+00
1.523605582000000000e+09 0.000000000000000000e+00
1.523605643000000000e+09 0.000000000000000000e+00
1.523605703000000000e+09 0.000000000000000000e+00
1.523605763000000000e+09 0.000000000000000000e+00
1.523605823000000000e+09 0.000000000000000000e+00
1.523605883000000000e+09 0.000000000000000000e+00
1.523605944000000000e+09 0.000000000000000000e+00
1.523606004000000000e+09 0.000000000000000000e+00
1.523606064000000000e+09 0.000000000000000000e+00
1.523606124000000000e+09 0.000000000000000000e+00
1.523606184000000000e+09 0.000000000000000000e+00
1.523606244000000000e+09 0.000000000000000000e+00
1.523606305000000000e+09 0.000000000000000000e+00
1.523606365000000000e+09 0.000000000000000000e+00
1.523606425000000000e+09 0.000000000000000000e+00
1.523606485000000000e+09 0.000000000000000000e+00
1.523606545000000000e+09 0.000000000000000000e+00
1.523606605000000000e+09 0.000000000000000000e+00
1.523606665000000000e+09 0.000000000000000000e+00
1.523606726000000000e+09 0.000000000000000000e+00
1.523606786000000000e+09 0.000000000000000000e+00
1.523606846000000000e+09 0.000000000000000000e+00
1.523606906000000000e+09 0.000000000000000000e+00
1.523606966000000000e+09 0.000000000000000000e+00
1.523607027000000000e+09 0.000000000000000000e+00
1.523607087000000000e+09 0.000000000000000000e+00
1.523607147000000000e+09 0.000000000000000000e+00
1.523607207000000000e+09 0.000000000000000000e+00
1.523607267000000000e+09 0.000000000000000000e+00
1.523607327000000000e+09 0.000000000000000000e+00
1.523607387000000000e+09 0.000000000000000000e+00
1.523607447000000000e+09 0.000000000000000000e+00
1.523607508000000000e+09 0.000000000000000000e+00
1.523607568000000000e+09 0.000000000000000000e+00
1.523607628000000000e+09 0.000000000000000000e+00
1.523607688000000000e+09 0.000000000000000000e+00
1.523607748000000000e+09 0.000000000000000000e+00
1.523607808000000000e+09 0.000000000000000000e+00
1.523607869000000000e+09 0.000000000000000000e+00
1.523607929000000000e+09 0.000000000000000000e+00
1.523607989000000000e+09 0.000000000000000000e+00
1.523608049000000000e+09 0.000000000000000000e+00
1.523608109000000000e+09 0.000000000000000000e+00
1.523608169000000000e+09 0.000000000000000000e+00
1.523608229000000000e+09 0.000000000000000000e+00
1.523608290000000000e+09 0.000000000000000000e+00
1.523608350000000000e+09 0.000000000000000000e+00
1.523608410000000000e+09 0.000000000000000000e+00
1.523608470000000000e+09 0.000000000000000000e+00
1.523608530000000000e+09 0.000000000000000000e+00
1.523608590000000000e+09 0.000000000000000000e+00
1.523608650000000000e+09 0.000000000000000000e+00
1.523608711000000000e+09 0.000000000000000000e+00
1.523608771000000000e+09 0.000000000000000000e+00
1.523608831000000000e+09 0.000000000000000000e+00
1.523608891000000000e+09 0.000000000000000000e+00
1.523608951000000000e+09 0.000000000000000000e+00
1.523609011000000000e+09 0.000000000000000000e+00
1.523609071000000000e+09 0.000000000000000000e+00
1.523609131000000000e+09 0.000000000000000000e+00
1.523609192000000000e+09 0.000000000000000000e+00
1.523609252000000000e+09 0.000000000000000000e+00
1.523609312000000000e+09 0.000000000000000000e+00
1.523609372000000000e+09 0.000000000000000000e+00
1.523609432000000000e+09 0.000000000000000000e+00
1.523609492000000000e+09 0.000000000000000000e+00
1.523609552000000000e+09 0.000000000000000000e+00
1.523609613000000000e+09 0.000000000000000000e+00
1.523609673000000000e+09 0.000000000000000000e+00
1.523609733000000000e+09 0.000000000000000000e+00
1.523609793000000000e+09 0.000000000000000000e+00
